,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
1149,GUJARAT,surendranagar,2005,kharif,Rice,500,1100,0,300,600,803.4,515.5
1150,GUJARAT,surendranagar,2006,kharif,Rice,500,900,0,1100,300,632.4,803.4
1151,GUJARAT,surendranagar,2007,kharif,Rice,800,1500,0,900,1100,821.2,632.4
1152,GUJARAT,surendranagar,2008,kharif,Rice,900,1000,0,1500,900,738.5,821.2
1153,GUJARAT,surendranagar,2009,kharif,Rice,600,600,0,1000,1500,279.4,738.5
1163,GUJARAT,vadodara,2000,kharif,Rice,51500,6100,1,26800,61900,763.921,830.005
1164,GUJARAT,vadodara,2001,kharif,Rice,58600,48700,1,6100,26800,796.908,763.921
1165,GUJARAT,vadodara,2002,kharif,Rice,47200,38000,1,48700,6100,611.426,796.908
1183,GUJARAT,valsad,2005,kharif,Rice,47500,94800,0,89400,93300,2793.1,2338.6
1184,GUJARAT,valsad,2006,kharif,Rice,50600,96500,0,94800,89400,2236.8,2793.1
1185,GUJARAT,valsad,2007,kharif,Rice,57500,127700,0,96500,94800,2196.5,2236.8
1186,GUJARAT,valsad,2008,kharif,Rice,60300,127500,0,127700,96500,2246.3,2196.5
1187,GUJARAT,valsad,2009,kharif,Rice,58300,112900,0,127500,127700,1861.9,2246.3
1188,GUJARAT,valsad,2010,kharif,Rice,58600,118200,0,112900,127500,2235.4,1861.9
1193,HARYANA,ambala,1999,kharif,Rice,72185,206000,0,186000,182000,396.134,649.086
1194,HARYANA,ambala,2000,kharif,Rice,71840,217000,0,206000,186000,593.737,396.134
1195,HARYANA,ambala,2001,kharif,Rice,74881,233000,0,217000,206000,469.118,593.737
1196,HARYANA,ambala,2002,kharif,Rice,61465,183000,0,233000,217000,476.752,469.118
1199,HARYANA,ambala,2005,kharif,Rice,76540,254000,0,233000,227000,1058.4,1202.9
1200,HARYANA,ambala,2006,kharif,Rice,75737,261000,0,254000,233000,660.7,1058.4
1201,HARYANA,ambala,2007,kharif,Rice,75164,277000,0,261000,254000,738.3,660.7
1202,HARYANA,ambala,2008,kharif,Rice,81002,267000,0,277000,261000,1227.9,738.3
1203,HARYANA,ambala,2009,kharif,Rice,82283,306000,0,267000,277000,779.6,1227.9
